linha;legacyId;numeroEdital;processoAdministrativo;protocolo;modalidade;secretaria;statusLegado;motivoCodigo;motivo;processoInternoRelacionado;origemProcessoRelacionado;objetoResumo
"1492";"4844";"TP-004-2022";"514/2022";"3938";"TOMADA DE PREÇO";"SECRETARIA DE SAÚDE";"Homologado";"DUPLICIDADE_PROCESSO_INTERNO";"J? existe processo interno com o mesmo administrativo ou edital (0047/2022 / LEGADO).";"0047/2022";"LEGADO";"Contratação de empresa especializada para construir uma UBS (Unidade Básica de Saúde) Padrão 1 no Residencial Santos Guimarães no Município de Teixeira de Freitas-BA."
"1503";"4855";"TP-010-2022";"539/2022";"3974";"TOMADA DE PREÇO";"SECRETARIA DE ADMINISTRAÇÃO";"Homologado";"DUPLICIDADE_PROCESSO_INTERNO";"J? existe processo interno com o mesmo administrativo ou edital (0056/2022 / LEGADO).";"0056/2022";"LEGADO";"O Município de Teixeira de Freitas-BA, torna público, para conhecimento dos interessados, que promoverá licitação, na modalidade TOMADA DE PREÇOS para a CONTRATAÇÃO DE EMPRESA DE CONSULTORIA, ESPECIALIZADA PARA A EXECUÇÃO DO GERENCIAMENTO DAS OBRAS E DO PROJETO SOCIOAMBIENTAL DO PROGRAMA SANEAMENTO INTEGRADO NA BACIA DO RIO ITANHÉM - TEIXEIRA DE FREITAS-BAHIA - 3ª. FASE - BACIA DO LAVA PÉS 1."
"1531";"4883";"TP-006-2022";"597/2022";"3949";"TOMADA DE PREÇO";"SECRETARIA DE SAÚDE";"Homologado";"DUPLICIDADE_PROCESSO_INTERNO";"J? existe processo interno com o mesmo administrativo ou edital (0049/2022 / LEGADO).";"0049/2022";"LEGADO";"CONTRATAÇÃO DE EMPRESA ESPECIALIZADA PARA FORNECIMENTO E INSTALAÇÃO DE LAJE PRÉ FABRICADA PARA A OBRA DE AMPLIAÇÃO DA UMMI COM CARACTERÍSTICAS TÉCNICAS ESPECIFICADAS EM PLANILHA ANEXA."
"1535";"4887";"3-IL-046-2022";"602/2022";"3989";"INEXIGIBILIDADE";"SECRETARIA DE SAÚDE";"Homologado";"DUPLICIDADE_PROCESSO_INTERNO";"J? existe processo interno com o mesmo administrativo ou edital (0723/2022 / LEGADO).";"0723/2022";"LEGADO";"Médico(a) Anestesista para a Unidade Municipal Materno Infantil (UMMI), conforme Processo Administrativo 2008/2021 - Empresa Credenciada: GHL SERVICOS MEDICOS LTDA - ME, CNPJ: 09.569.920/0001-08"
"1559";"4911";"PE-061-2022";"628/2022";"3956";"PREGÃO";"SECRETARIA DE SAÚDE";"Fracassada";"DUPLICIDADE_PROCESSO_INTERNO";"J? existe processo interno com o mesmo administrativo ou edital (0745/2022 / LEGADO).";"0745/2022";"LEGADO";"O Município de Teixeira de Freitas-BA, torna público, para conhecimento dos interessados, que promoverá licitação, na modalidade PREGÃO ELETRÔNICO, para SISTEMA DE REGISTRO DE PREÇOS do tipo MENOR PREÇO POR ITEM, visando a contratação de empresa para aquisição de material de consumo (CONTRASTES RADIOLÓGICOS), visando atender as necessidades da rede hospitalar - Secretaria Municipal de Saúde do Município de Teixeira de Freitas, conforme condições, quantidades e especificações no Edital, Termo de Referência e seus Anexos."
"1576";"4928";"3-IL-067-2022";"693/2022";"3971";"INEXIGIBILIDADE";"SECRETARIA DE SAÚDE";"Homologado";"DUPLICIDADE_PROCESSO_INTERNO";"J? existe processo interno com o mesmo administrativo ou edital (0024/2022 / LEGADO).";"0024/2022";"LEGADO";"SOLICITA-SE CONTRATAÇÃO DE PROFISSIONAL MEDICO DA EMPRESA MEDMINAS S/S LTDA ME, CNPJ: 11.070.272/0001-84 PARA PRESTAR SERVIÇOS AO HOSPITAL MUNICIPAL DE TEIXEIRA DE FREITAS (HMTF)"
"1578";"4930";"TP-005-2022";"696/2022";"3940";"TOMADA DE PREÇO";"SECRETARIA DE ADMINISTRAÇÃO";"Homologado";"DUPLICIDADE_PROCESSO_INTERNO";"J? existe processo interno com o mesmo administrativo ou edital (0048/2022 / LEGADO).";"0048/2022";"LEGADO";"CONTRATAÇÃO DE EMPRESA ESPECIALIZADA EM OBRAS E SERVIÇOS DE ENGENHARIA, PARA EXECUTAR A 1ª ETAPA DE REQUALIFICAÇÃO DA PRAÇA DA BÍBLIA - CONSTRUÇÃO DA ÁREA GOURMET."
"1598";"4950";"3-IL-075-2022";"749/2022";"3949";"INEXIGIBILIDADE";"SECRETARIA DE SAÚDE";"Homologado";"DUPLICIDADE_PROCESSO_INTERNO";"J? existe processo interno com o mesmo administrativo ou edital (0781/2022 / LEGADO).";"0781/2022";"LEGADO";"Médico(a) Psiquiatria para o Centro de Atenção Psicossocial (CAPS), conforme Processo Administrativo 2008/2021 - Empresa Credenciada: NEUROCLINICA SERVICOS MEDICOS ESPECIALIZADOS, CNPJ: 05.792.989/0001-37"
"1599";"5121";"3-DL-122-2023";"3/DL/122/2023";"3413";"DISPENSA";"";"Homologado";"SECRETARIA_SEM_CORRESPONDENCIA";"A secretaria saneada n?o corresponde a nenhum cadastro interno.";"";"";"O presente Termo tem como objetivo a contratação de empresa especializada na prestação de serviços CONSULTA COM ESPECIALISTA EM TERAPEUTA OCUPACIONAL uma vez por semana com o objetivo de atender a demanda judicial em favor de ARIEL FELIPE SANTOS PADUA deferida nos autos do processo n° 8005418-67.2023.8.05.0256."
"1600";"5122";"3-DL-123-2023";"3/DL/123/2023";"3413";"DISPENSA";"";"Arquivado";"SECRETARIA_SEM_CORRESPONDENCIA";"A secretaria saneada n?o corresponde a nenhum cadastro interno.";"";"";"O presente termo tem como objetivo consulta com especialista Terapeuta Ocupacional com objetivo de atender a demanda judicial em favor de AYLLA VICTÓRIA RODRIGUES MACHADO deferida nos autos do processo 8001897-17.2023.8.05.0256 ."
"1601";"5123";"3-DL-124-2023";"3/DL/124/2023";"3233";"DISPENSA";"";"Homologado";"SECRETARIA_SEM_CORRESPONDENCIA";"A secretaria saneada n?o corresponde a nenhum cadastro interno.";"";"";"Aquisição de material ou bem para distribuição gratuita em caráter de urgência (Bolsas de Colostomia, Urostomia e Adjuvantes), conforme condições, quantidades e exigências estabelecidas neste instrumento."
"1602";"5124";"3-DL-125-2023";"3/DL/125/2023";"3223";"DISPENSA";"";"Homologado";"SECRETARIA_SEM_CORRESPONDENCIA";"A secretaria saneada n?o corresponde a nenhum cadastro interno.";"";"";"LOCAÇÃO DE IMÓVEL localizado na rua Frei Olavo, n° 165, Nova América, Teixeira de Freitas-BA, para reinstalação do PSF NOVA AMÉRICA, para atender as necessidades da Secretaria Municipal de Saúde."
"1603";"5125";"3-DL-127-2023";"3/DL/127/2023";"3250";"DISPENSA";"";"Homologado";"SECRETARIA_SEM_CORRESPONDENCIA";"A secretaria saneada n?o corresponde a nenhum cadastro interno.";"";"";"Empresa especializada no fornecimento de medicamentos (MIDODRINE 5MG), com o objetivo de atender a demanda judicial em favor de ERICO CAVALCANTI LEDO deferida nos autos do processo n° 8013552-20.2022.8.05.0256, de responsabilidade da Secretaria Municipal de Saúde."
"1604";"5126";"3-DL-128-2023";"3/DL/128/2023";"3253";"DISPENSA";"";"Homologado";"SECRETARIA_SEM_CORRESPONDENCIA";"A secretaria saneada n?o corresponde a nenhum cadastro interno.";"";"";"A presente SD Tem por objetivo a AQUISIÇÃO DE MEDICAMENTO, com a finalidade de atender a antecipação de tutela proposta por, DIOGO SANTOS PEREIRA, GENEVALDO DAMASCENO DOS REIS, ELIAN MONTEIRO LYRIO COSTA, JOSÉ CARLOS CARMO PERREIRA e RYANA SOUZA SANTOS"
